sentence,disease
"I have been suffering from joint pain, yellowish skin, fatigue, nausea and vomiting.",Hepatitis D
"My body is showing signs of swelling joints, neck pain and joint pain.",Osteoarthristis
My body is showing signs of sweating and fatigue.,Hyperthyroidism
"I think I’m having passage of gases, abdominal pain and indigestion.",Peptic ulcer diseae
"I have been suffering from acidity, cough, vomiting and ulcers on tongue.",GERD
"I think I’m having cough, breathlessness and family history.",Bronchial Asthma
Symptoms such as pus filled pimples and scurring are bothering me.,Acne
Symptoms such as chest pain and vomiting are bothering me.,Heart attack
"Recently, I noticed painful walking, swelling joints and muscle weakness.",Arthritis
"These days I feel nausea, headache, diarrhoea, vomiting and sweating.",Malaria
"Symptoms such as diarrhoea, muscle pain, headache and nausea are bothering me.",Malaria
"I'm experiencing symptoms like painful walking, stiff neck, swelling joints, movement stiffness and muscle weakness.",Arthritis
"My body is showing signs of nausea, family history, yellowing of eyes, yellowish skin and loss of appetite.",Hepatitis C
"I'm experiencing symptoms like vomiting, nausea, yellowing of eyes and abdominal pain.",Chronic cholestasis
Troubled by yellowing of eyes and nausea lately.,Chronic cholestasis
"My body is showing signs of fatigue, back pain, loss of appetite, chills and vomiting.",Dengue
"I feel discomfort due to chills, nausea, high fever, sweating and muscle pain.",Malaria
Symptoms such as chest pain and vomiting are bothering me.,Heart attack
"These days I feel fast heart rate, chills and rusty sputum.",Pneumonia
"These days I feel abdominal pain, itching, yellowish skin and vomiting.",Chronic cholestasis
"I feel discomfort due to swelling joints, neck pain and painful walking.",Osteoarthristis
Symptoms such as breathlessness and sweating are bothering me.,Heart attack
"I have been suffering from mild fever, fatigue and lethargy.",Chicken pox
I'm experiencing symptoms like painful walking and movement stiffness.,Arthritis
I feel discomfort due to indigestion and abdominal pain.,Peptic ulcer diseae
"My body is showing signs of skin rash, joint pain and small dents in nails.",Psoriasis
"Symptoms such as nausea, loss of appetite, family history and yellowing of eyes are bothering me.",Hepatitis C
"Symptoms such as joint pain, small dents in nails and skin peeling are bothering me.",Psoriasis
Troubled by high fever and sweating lately.,Malaria
I'm experiencing symptoms like painful walking and joint pain.,Osteoarthristis
My body is showing signs of continuous sneezing and chills.,Allergy
"These days I feel chest pain, vomiting, breathlessness and sweating.",Heart attack
"My body is showing signs of shivering, watering from eyes and chills.",Allergy
I'm experiencing symptoms like diarrhoea and toxic look (typhos).,Typhoid
"Symptoms such as stomach bleeding, dark urine and coma are bothering me.",Hepatitis E
"Recently, I noticed fatigue, loss of appetite, nausea, family history and yellowish skin.",Hepatitis C
Troubled by weakness of one body side and headache lately.,Paralysis (brain hemorrhage)
"My body is showing signs of stomach pain, spotting  urination, skin rash and burning micturition.",Drug Reaction
I feel discomfort due to loss of appetite and yellowing of eyes.,Hepatitis C
My body is showing signs of sweating and fatigue.,Hypoglycemia
"Troubled by high fever, blister, red sore around nose and yellow crust ooze lately.",Impetigo
"I have been suffering from muscle pain, high fever, fatigue, redness of eyes and cough.",Common Cold
Symptoms such as continuous feel of urine and foul smell of urine are bothering me.,Urinary tract infection
"These days I feel vomiting, abdominal pain and indigestion.",Peptic ulcer diseae
"Troubled by receiving unsterile injections, abdominal pain, dark urine, receiving blood transfusion and yellow urine lately.",Hepatitis B
These days I feel yellowing of eyes and yellow urine.,Hepatitis B
"These days I feel skin rash, joint pain, skin peeling and silver like dusting.",Psoriasis
"I'm experiencing symptoms like breathlessness, high fever, fatigue, cough and family history.",Bronchial Asthma
"I think I’m having irritation in anus, pain in anal region, constipation and pain during bowel movements.",Dimorphic hemmorhoids(piles)
My body is showing signs of lack of concentration and loss of balance.,Hypertension 
"Troubled by headache, stiff neck, visual disturbances and excessive hunger lately.",Migraine
"I’ve had slurred speech, irritability, blurred and distorted vision and nausea for a few days.",Hypoglycemia
I feel discomfort due to cough and runny nose.,Common Cold
"I think I’m having painful walking, stiff neck, movement stiffness and swelling joints.",Arthritis
"I think I’m having chest pain, sinus pressure and cough.",Common Cold
"Recently, I noticed fatigue and throat irritation.",Common Cold
"I'm experiencing symptoms like sweating, breathlessness and vomiting.",Heart attack
Troubled by mucoid sputum and high fever lately.,Bronchial Asthma
"I'm experiencing symptoms like stomach pain, burning micturition, spotting  urination and itching.",Drug Reaction
"Symptoms such as mood swings, irritability, dizziness, brittle nails and cold hands and feets are bothering me.",Hypothyroidism
"Recently, I noticed lethargy and fatigue.",Chicken pox
"I think I’m having irritability, fatigue, fast heart rate and restlessness.",Hyperthyroidism
"I think I’m having diarrhoea, vomiting and abdominal pain.",Typhoid
"I'm experiencing symptoms like chest pain, loss of balance, lack of concentration and headache.",Hypertension 
These days I feel excessive hunger and blurred and distorted vision.,Hypoglycemia
"Symptoms such as high fever, blood in sputum, phlegm and chills are bothering me.",Tuberculosis
"I’ve had stomach pain, burning micturition, itching, skin rash and spotting  urination for a few days.",Drug Reaction
I think I’m having cough and high fever.,Bronchial Asthma
"Troubled by sinus pressure, high fever, redness of eyes and chills lately.",Common Cold
"I feel discomfort due to fatigue, abdominal pain and itching.",Hepatitis B
"I have been suffering from painful walking, knee pain, joint pain, neck pain and swelling joints.",Osteoarthristis
"I feel discomfort due to abdominal pain, dark urine, joint pain and stomach bleeding.",Hepatitis E
"I think I’m having dizziness, loss of balance, headache and chest pain.",Hypertension 
I think I’m having passage of gases and loss of appetite.,Peptic ulcer diseae
"These days I feel acute liver failure, vomiting and joint pain.",Hepatitis E
"Symptoms such as obesity, restlessness and lethargy are bothering me.",Diabetes 
Symptoms such as chills and continuous sneezing are bothering me.,Allergy
"I'm experiencing symptoms like abdominal pain, internal itching, passage of gases, indigestion and loss of appetite.",Peptic ulcer diseae
"Troubled by yellowish skin, fatigue and high fever lately.",Jaundice
"Troubled by swollen blood vessels, cramps and prominent veins on calf lately.",Varicose veins
"These days I feel vomiting, loss of appetite and yellowish skin.",Chronic cholestasis
I feel discomfort due to excessive hunger and blurred and distorted vision.,Hypoglycemia
"Troubled by shivering, continuous sneezing and watering from eyes lately.",Allergy
"Recently, I noticed ulcers on tongue, chest pain, vomiting and stomach pain.",GERD
I think I’m having continuous sneezing and shivering.,Allergy
Troubled by loss of appetite and yellowing of eyes lately.,Chronic cholestasis
"Troubled by muscle weakness, painful walking, stiff neck, swelling joints and movement stiffness lately.",Arthritis
I think I’m having chills and muscle pain.,Dengue
"I think I’m having palpitations, nausea, fatigue, irritability and vomiting.",Hypoglycemia
"Symptoms such as neck pain, dizziness and back pain are bothering me.",Cervical spondylosis
Symptoms such as vomiting and chest pain are bothering me.,Heart attack
"I’ve had watering from eyes, chills and shivering for a few days.",Allergy
"My body is showing signs of back pain, pain behind the eyes and headache.",Dengue
"Recently, I noticed joint pain, silver like dusting, skin peeling, small dents in nails and skin rash.",Psoriasis
"I think I’m having yellow crust ooze, high fever and blister.",Impetigo
"I think I’m having abdominal pain, loss of appetite, joint pain and fatigue.",Hepatitis E
"I think I’m having headache, dizziness, chest pain, lack of concentration and loss of balance.",Hypertension 
"I think I’m having muscle pain, headache, diarrhoea, high fever and sweating.",Malaria
"Troubled by itching, burning micturition, spotting  urination, skin rash and stomach pain lately.",Drug Reaction
I think I’m having continuous sneezing and shivering.,Allergy
"I'm experiencing symptoms like nodal skin eruptions, itching and dischromic  patches.",Fungal infection
"Symptoms such as enlarged thyroid, swollen extremeties and depression are bothering me.",Hypothyroidism
I feel discomfort due to joint pain and hip joint pain.,Osteoarthristis
These days I feel loss of balance and chest pain.,Hypertension 
"I have been suffering from lethargy, polyuria and weight loss.",Diabetes 
"I feel discomfort due to dizziness, back pain, neck pain and weakness in limbs.",Cervical spondylosis
"Troubled by depression, blurred and distorted vision and irritability lately.",Migraine
"I think I’m having family history, fatigue, loss of appetite, yellowing of eyes and yellowish skin.",Hepatitis C
"Recently, I noticed breathlessness, sweating, chest pain and vomiting.",Heart attack
I have been suffering from fatigue and red spots over body.,Chicken pox
"These days I feel pain behind the eyes, headache, back pain and skin rash.",Dengue
Troubled by weakness of one body side and altered sensorium lately.,Paralysis (brain hemorrhage)
"These days I feel skin rash, stomach pain and itching.",Drug Reaction
"Recently, I noticed acidity and vomiting.",GERD
"I’ve had yellow crust ooze, high fever and red sore around nose for a few days.",Impetigo
"Symptoms such as passage of gases, internal itching and loss of appetite are bothering me.",Peptic ulcer diseae
"Recently, I noticed spinning movements and headache.",(vertigo) Paroymsal  Positional Vertigo
"My body is showing signs of indigestion, abdominal pain and internal itching.",Peptic ulcer diseae
"I feel discomfort due to chills, malaise, chest pain and sweating.",Pneumonia
"Recently, I noticed fatigue, family history, loss of appetite, yellowing of eyes and yellowish skin.",Hepatitis C
"I'm experiencing symptoms like chills, watering from eyes and shivering.",Allergy
"Recently, I noticed sweating, chills and rusty sputum.",Pneumonia
"Troubled by chills, swelled lymph nodes, yellowing of eyes and high fever lately.",Tuberculosis
"I'm experiencing symptoms like constipation, bloody stool and pain in anal region.",Dimorphic hemmorhoids(piles)
I think I’m having dehydration and vomiting.,Gastroenteritis
"I have been suffering from loss of appetite, nausea and yellowish skin.",Hepatitis C
"These days I feel irritability, depression, excessive hunger and acidity.",Migraine
I think I’m having skin rash and joint pain.,Psoriasis
"I’ve had stomach pain, spotting  urination and itching for a few days.",Drug Reaction
"Symptoms such as headache, loss of appetite, fatigue and red spots over body are bothering me.",Chicken pox
"I have been suffering from excessive hunger, fatigue, increased appetite and polyuria.",Diabetes 
"I’ve had skin rash, blackheads and scurring for a few days.",Acne
I have been suffering from watering from eyes and continuous sneezing.,Allergy
"Troubled by passage of gases, internal itching and abdominal pain lately.",Peptic ulcer diseae
"My body is showing signs of slurred speech, palpitations and drying and tingling lips.",Hypoglycemia
"I think I’m having fatigue, loss of appetite, nausea, family history and yellowish skin.",Hepatitis C
I have been suffering from mucoid sputum and cough.,Bronchial Asthma
"Troubled by nausea, loss of appetite and family history lately.",Hepatitis C
"Troubled by stomach pain, skin rash, spotting  urination and itching lately.",Drug Reaction
I have been suffering from passage of gases and vomiting.,Peptic ulcer diseae
"I feel discomfort due to mild fever, high fever and lethargy.",Chicken pox
I feel discomfort due to cough and swelled lymph nodes.,Tuberculosis
"I’ve had weight gain, irritability, puffy face and eyes, depression and abnormal menstruation for a few days.",Hypothyroidism
"My body is showing signs of dark urine, yellowish skin, loss of appetite, nausea and yellowing of eyes.",hepatitis A
"I have been suffering from swollen legs, swollen blood vessels, fatigue, obesity and prominent veins on calf.",Varicose veins
"I have been suffering from cough, high fever and fatigue.",Bronchial Asthma
I feel discomfort due to yellowish skin and yellowing of eyes.,Hepatitis C
"Symptoms such as puffy face and eyes, brittle nails and swollen extremeties are bothering me.",Hypothyroidism
"These days I feel high fever, joint pain, vomiting, yellowing of eyes and acute liver failure.",Hepatitis E
"My body is showing signs of stomach pain, skin rash, itching, spotting  urination and burning micturition.",Drug Reaction
I’ve had weight loss and itching for a few days.,Jaundice
"Recently, I noticed dizziness and loss of balance.",Cervical spondylosis
"I have been suffering from spotting  urination, skin rash and burning micturition.",Drug Reaction
"I'm experiencing symptoms like joint pain, small dents in nails, skin rash, inflammatory nails and silver like dusting.",Psoriasis
"I have been suffering from diarrhoea, vomiting and dehydration.",Gastroenteritis
"These days I feel vomiting, chest pain, stomach pain and acidity.",GERD
"My body is showing signs of joint pain, diarrhoea, yellowing of eyes and abdominal pain.",hepatitis A
Symptoms such as skin rash and burning micturition are bothering me.,Drug Reaction
"I have been suffering from high fever, red sore around nose and skin rash.",Impetigo
"Recently, I noticed nausea, vomiting and abdominal pain.",Chronic cholestasis
"Recently, I noticed cough and stomach pain.",GERD
These days I feel itching and dischromic  patches.,Fungal infection
"These days I feel vomiting, headache, chills and nausea.",Malaria
I feel discomfort due to yellow crust ooze and high fever.,Impetigo
"Troubled by cough, stomach pain and vomiting lately.",GERD
"I'm experiencing symptoms like congestion, loss of smell and phlegm.",Common Cold
"I feel discomfort due to loss of balance, spinning movements and headache.",(vertigo) Paroymsal  Positional Vertigo
"I'm experiencing symptoms like vomiting, abdominal pain, yellowing of eyes and dark urine.",Hepatitis E
"My body is showing signs of bloody stool, irritation in anus, pain in anal region and pain during bowel movements.",Dimorphic hemmorhoids(piles)
"These days I feel high fever, patches in throat, extra marital contacts and muscle wasting.",AIDS
"I’ve had swollen legs, bruising, fatigue, swollen blood vessels and obesity for a few days.",Varicose veins
"I think I’m having yellowish skin, itching, loss of appetite and nausea.",Chronic cholestasis
These days I feel back pain and neck pain.,Cervical spondylosis
These days I feel drying and tingling lips and palpitations.,Hypoglycemia
"Recently, I noticed passage of gases, loss of appetite, indigestion and internal itching.",Peptic ulcer diseae
"I'm experiencing symptoms like runny nose, continuous sneezing, redness of eyes, congestion and swelled lymph nodes.",Common Cold
Symptoms such as irritability and nausea are bothering me.,Hypoglycemia
"I feel discomfort due to fatigue, nausea and headache.",Hypoglycemia
"I think I’m having chest pain, cough and runny nose.",Common Cold
"I have been suffering from swelling joints, painful walking and muscle weakness.",Arthritis
Symptoms such as nausea and headache are bothering me.,Dengue
"My body is showing signs of chest pain, malaise and high fever.",Pneumonia
"These days I feel nausea, family history and yellowing of eyes.",Hepatitis C
"Symptoms such as lethargy, excessive hunger, blurred and distorted vision and irregular sugar level are bothering me.",Diabetes 
"Troubled by high fever, blister, yellow crust ooze and red sore around nose lately.",Impetigo
"My body is showing signs of sunken eyes, diarrhoea and dehydration.",Gastroenteritis
"My body is showing signs of chills, cough, congestion and fatigue.",Common Cold
"I think I’m having loss of appetite, itching, vomiting and yellowish skin.",Chronic cholestasis
"These days I feel vomiting, breathlessness and chest pain.",Heart attack
"Troubled by nausea, yellowing of eyes, fatigue and yellowish skin lately.",Hepatitis C
"I feel discomfort due to painful walking, stiff neck, swelling joints and muscle weakness.",Arthritis
"I’ve had fatigue, high fever, abdominal pain and yellowish skin for a few days.",Jaundice
"I think I’m having weight loss, mood swings, sweating and abnormal menstruation.",Hyperthyroidism
"I’ve had vomiting, yellowish skin and loss of appetite for a few days.",Hepatitis D
I feel discomfort due to ulcers on tongue and cough.,GERD
"These days I feel stiff neck, movement stiffness, muscle weakness and swelling joints.",Arthritis
"Recently, I noticed patches in throat, extra marital contacts, muscle wasting and high fever.",AIDS
I feel discomfort due to loss of appetite and malaise.,Chicken pox
"I feel discomfort due to loss of appetite, abdominal pain, receiving unsterile injections, lethargy and yellowish skin.",Hepatitis B
"My body is showing signs of altered sensorium, headache and weakness of one body side.",Paralysis (brain hemorrhage)
"I have been suffering from headache, loss of appetite, swelled lymph nodes, high fever and skin rash.",Chicken pox
"I have been suffering from family history, nausea, yellowish skin and fatigue.",Hepatitis C
"These days I feel yellowing of eyes, abdominal pain and dark urine.",Hepatitis D
"I feel discomfort due to headache, nausea, high fever, vomiting and sweating.",Malaria
"These days I feel swelling joints, painful walking, muscle weakness and stiff neck.",Arthritis
"I think I’m having joint pain, hip joint pain, knee pain, swelling joints and painful walking.",Osteoarthristis
"I have been suffering from abdominal pain, history of alcohol consumption, swelling of stomach and distention of abdomen.",Alcoholic hepatitis
"Troubled by vomiting, coma, dark urine, fatigue and stomach bleeding lately.",Hepatitis E
I’ve had fast heart rate and phlegm for a few days.,Pneumonia
"I'm experiencing symptoms like internal itching, indigestion and abdominal pain.",Peptic ulcer diseae
"My body is showing signs of sweating, chest pain and breathlessness.",Heart attack
I'm experiencing symptoms like lethargy and excessive hunger.,Diabetes 
"Symptoms such as fluid overload, vomiting and abdominal pain are bothering me.",Alcoholic hepatitis
I'm experiencing symptoms like itching and lethargy.,Hepatitis B
These days I feel skin rash and itching.,Fungal infection
"I have been suffering from nausea, abdominal pain, loss of appetite and yellowish skin.",Chronic cholestasis
I think I’m having yellowing of eyes and muscle pain.,hepatitis A
"Recently, I noticed high fever, swelled lymph nodes, loss of appetite, sweating and mild fever.",Tuberculosis
"My body is showing signs of swelling of stomach, distention of abdomen, abdominal pain and fluid overload.",Alcoholic hepatitis
"These days I feel vomiting, passage of gases and loss of appetite.",Peptic ulcer diseae
"Symptoms such as mood swings, puffy face and eyes, enlarged thyroid, dizziness and abnormal menstruation are bothering me.",Hypothyroidism
"Troubled by dark urine, yellowish skin, fatigue, itching and high fever lately.",Jaundice
"Symptoms such as yellow crust ooze, blister and skin rash are bothering me.",Impetigo
"My body is showing signs of joint pain, pain behind the eyes and headache.",Dengue
"Recently, I noticed prominent veins on calf, bruising and cramps.",Varicose veins
"I feel discomfort due to sunken eyes, dehydration and diarrhoea.",Gastroenteritis
I have been suffering from chest pain and dizziness.,Hypertension 
"I have been suffering from swelling of stomach, distention of abdomen, abdominal pain, yellowish skin and fluid overload.",Alcoholic hepatitis
"Troubled by weakness of one body side, vomiting and headache lately.",Paralysis (brain hemorrhage)
"I feel discomfort due to visual disturbances, irritability, stiff neck and blurred and distorted vision.",Migraine
"I'm experiencing symptoms like fatigue, chills, nausea and abdominal pain.",Typhoid
"My body is showing signs of muscle pain, swelled lymph nodes, redness of eyes, cough and headache.",Common Cold
I have been suffering from diarrhoea and vomiting.,Gastroenteritis
"I have been suffering from fatigue, sweating, fast heart rate and malaise.",Pneumonia
"My body is showing signs of extra marital contacts, patches in throat, high fever and muscle wasting.",AIDS
"I have been suffering from high fever, coma and vomiting.",Hepatitis E
"I'm experiencing symptoms like swelling of stomach, abdominal pain, fluid overload, vomiting and history of alcohol consumption.",Alcoholic hepatitis
"I'm experiencing symptoms like hip joint pain, joint pain and painful walking.",Osteoarthristis
"I’ve had silver like dusting, inflammatory nails, skin peeling, small dents in nails and skin rash for a few days.",Psoriasis
"Symptoms such as breathlessness, chest pain and sweating are bothering me.",Heart attack
Troubled by high fever and extra marital contacts lately.,AIDS
I’ve had loss of appetite and internal itching for a few days.,Peptic ulcer diseae
I’ve had blurred and distorted vision and headache for a few days.,Hypoglycemia
My body is showing signs of chest pain and sweating.,Heart attack
Troubled by fatigue and headache lately.,Chicken pox
"Recently, I noticed nausea, loss of appetite, yellowing of eyes and yellowish skin.",Hepatitis C
I think I’m having diarrhoea and vomiting.,Gastroenteritis
Symptoms such as loss of appetite and weight loss are bothering me.,Tuberculosis
I think I’m having receiving blood transfusion and itching.,Hepatitis B
"I think I’m having vomiting, acute liver failure, high fever and nausea.",Hepatitis E
I have been suffering from vomiting and sweating.,Tuberculosis
"I think I’m having fatigue, chest pain, weight loss and blood in sputum.",Tuberculosis
"Recently, I noticed stiff neck, movement stiffness and painful walking.",Arthritis
I feel discomfort due to swollen legs and cramps.,Varicose veins
"I feel discomfort due to blackheads, skin rash, scurring and pus filled pimples.",Acne
"I'm experiencing symptoms like chest pain, dizziness, headache, lack of concentration and loss of balance.",Hypertension 
"I feel discomfort due to enlarged thyroid, weight gain, cold hands and feets, lethargy and dizziness.",Hypothyroidism
"Symptoms such as inflammatory nails, skin peeling, skin rash and silver like dusting are bothering me.",Psoriasis
"I feel discomfort due to high fever, family history, fatigue, cough and breathlessness.",Bronchial Asthma
"Recently, I noticed slurred speech, nausea and excessive hunger.",Hypoglycemia
"My body is showing signs of muscle pain, high fever, diarrhoea, headache and nausea.",Malaria
"My body is showing signs of weakness in limbs, dizziness and loss of balance.",Cervical spondylosis
I have been suffering from swelling of stomach and fluid overload.,Alcoholic hepatitis
"I think I’m having blurred and distorted vision, excessive hunger and depression.",Migraine
I'm experiencing symptoms like chest pain and rusty sputum.,Pneumonia
"I have been suffering from redness of eyes, continuous sneezing, swelled lymph nodes and sinus pressure.",Common Cold
"Recently, I noticed sunken eyes and dehydration.",Gastroenteritis
"I’ve had dischromic  patches, skin rash, itching and nodal skin eruptions for a few days.",Fungal infection
"Recently, I noticed depression and stiff neck.",Migraine
My body is showing signs of muscle pain and mild fever.,hepatitis A
Symptoms such as excessive hunger and weight loss are bothering me.,Diabetes 
"Troubled by spinning movements, vomiting and loss of balance lately.",(vertigo) Paroymsal  Positional Vertigo
"I have been suffering from loss of appetite, abdominal pain and fatigue.",Hepatitis B
"Symptoms such as dizziness, back pain, weakness in limbs and loss of balance are bothering me.",Cervical spondylosis
I’ve had irregular sugar level and excessive hunger for a few days.,Diabetes 
I think I’m having history of alcohol consumption and yellowish skin.,Alcoholic hepatitis
I’ve had skin rash and spotting  urination for a few days.,Drug Reaction
My body is showing signs of skin rash and skin peeling.,Psoriasis
I'm experiencing symptoms like fatigue and chills.,Common Cold
"I have been suffering from stomach pain, skin rash and spotting  urination.",Drug Reaction
"Recently, I noticed passage of gases, internal itching, vomiting, loss of appetite and indigestion.",Peptic ulcer diseae
I think I’m having chills and muscle pain.,Malaria
"I think I’m having headache, nausea, back pain, skin rash and pain behind the eyes.",Dengue
"My body is showing signs of irritability, restlessness, sweating and fatigue.",Hyperthyroidism
"Recently, I noticed lethargy, excessive hunger, restlessness and increased appetite.",Diabetes 
"I think I’m having joint pain, yellowish skin, abdominal pain and yellowing of eyes.",Hepatitis D
"Recently, I noticed itching, skin rash, malaise and headache.",Chicken pox
"These days I feel skin rash, itching and dischromic  patches.",Fungal infection
"These days I feel anxiety, irritability, drying and tingling lips and blurred and distorted vision.",Hypoglycemia
Symptoms such as passage of gases and internal itching are bothering me.,Peptic ulcer diseae
"I have been suffering from receiving unsterile injections, loss of appetite and yellowish skin.",Hepatitis B
"I feel discomfort due to yellowish skin, dark urine, yellowing of eyes and malaise.",Hepatitis B
"These days I feel skin rash, joint pain, silver like dusting and small dents in nails.",Psoriasis
"Recently, I noticed constipation, pain in anal region and irritation in anus.",Dimorphic hemmorhoids(piles)
"I have been suffering from vomiting, loss of appetite, abdominal pain and internal itching.",Peptic ulcer diseae
"My body is showing signs of history of alcohol consumption, fluid overload, distention of abdomen, yellowish skin and vomiting.",Alcoholic hepatitis
I'm experiencing symptoms like phlegm and sweating.,Pneumonia
"These days I feel burning micturition, itching and spotting  urination.",Drug Reaction
"Troubled by cough, vomiting, chest pain, ulcers on tongue and acidity lately.",GERD
"These days I feel vomiting, loss of appetite and abdominal pain.",Peptic ulcer diseae
"Symptoms such as diarrhoea, constipation, chills, high fever and belly pain are bothering me.",Typhoid
"These days I feel yellowing of eyes, mild fever, malaise, loss of appetite and breathlessness.",Tuberculosis
I have been suffering from vomiting and headache.,Paralysis (brain hemorrhage)
"I have been suffering from chest pain, acidity, ulcers on tongue, stomach pain and vomiting.",GERD
"Recently, I noticed blurred and distorted vision, sweating and anxiety.",Hypoglycemia
"These days I feel chest pain, acidity and stomach pain.",GERD
"These days I feel phlegm, malaise, cough and swelled lymph nodes.",Common Cold
"Recently, I noticed distention of abdomen and yellowish skin.",Alcoholic hepatitis
"Recently, I noticed headache, muscle pain, chest pain and swelled lymph nodes.",Common Cold
"Troubled by sweating, diarrhoea, chills and nausea lately.",Malaria
"I think I’m having vomiting, coma, fatigue, abdominal pain and acute liver failure.",Hepatitis E
"My body is showing signs of yellowish skin, loss of appetite, dark urine and abdominal pain.",Hepatitis D
"I’ve had blurred and distorted vision, palpitations, sweating and headache for a few days.",Hypoglycemia
"I feel discomfort due to dizziness, brittle nails, enlarged thyroid, mood swings and fatigue.",Hypothyroidism
"Recently, I noticed cramps, fatigue, obesity and prominent veins on calf.",Varicose veins
"Recently, I noticed neck pain and joint pain.",Osteoarthristis
"My body is showing signs of vomiting, loss of balance, spinning movements, headache and unsteadiness.",(vertigo) Paroymsal  Positional Vertigo
"I’ve had abdominal pain, yellowish skin, weight loss and itching for a few days.",Jaundice
Troubled by fatigue and blood in sputum lately.,Tuberculosis
"My body is showing signs of breathlessness, chest pain, blood in sputum, loss of appetite and chills.",Tuberculosis
"I'm experiencing symptoms like constipation, high fever, abdominal pain and chills.",Typhoid
"I’ve had itching, stomach pain, spotting  urination and skin rash for a few days.",Drug Reaction
"I'm experiencing symptoms like sweating, restlessness, mood swings and excessive hunger.",Hyperthyroidism
"I’ve had loss of appetite, itching, lethargy, malaise and skin rash for a few days.",Chicken pox
"Troubled by abdominal pain, receiving blood transfusion and dark urine lately.",Hepatitis B
"Recently, I noticed skin rash, mild fever, red spots over body, malaise and itching.",Chicken pox
"Recently, I noticed abdominal pain, yellowish skin and vomiting.",Alcoholic hepatitis
I have been suffering from yellow crust ooze and red sore around nose.,Impetigo
"Troubled by stomach pain, chest pain, cough and ulcers on tongue lately.",GERD
I'm experiencing symptoms like vomiting and sunken eyes.,Gastroenteritis
"I feel discomfort due to knee pain, hip joint pain and swelling joints.",Osteoarthristis
I'm experiencing symptoms like patches in throat and extra marital contacts.,AIDS
These days I feel anxiety and blurred and distorted vision.,Hypoglycemia
"My body is showing signs of high fever, yellow crust ooze, skin rash and blister.",Impetigo
"Recently, I noticed stiff neck, movement stiffness and muscle weakness.",Arthritis
"I feel discomfort due to itching, yellowing of eyes, yellowish skin, abdominal pain and nausea.",Chronic cholestasis
"I feel discomfort due to vomiting, loss of balance and headache.",(vertigo) Paroymsal  Positional Vertigo
"These days I feel swollen extremeties, depression and fatigue.",Hypothyroidism
"I think I’m having fatigue, chills, malaise, chest pain and cough.",Pneumonia
"I feel discomfort due to palpitations, blurred and distorted vision and slurred speech.",Hypoglycemia
"I feel discomfort due to joint pain, inflammatory nails, skin rash and small dents in nails.",Psoriasis
"Recently, I noticed headache and vomiting.",Malaria
"I have been suffering from yellowing of eyes, vomiting and itching.",Chronic cholestasis
"I have been suffering from family history, yellowish skin, loss of appetite and yellowing of eyes.",Hepatitis C
"I’ve had high fever, red sore around nose, skin rash and yellow crust ooze for a few days.",Impetigo
"I have been suffering from obesity, swollen legs, fatigue, swollen blood vessels and bruising.",Varicose veins
Symptoms such as irritation in anus and pain in anal region are bothering me.,Dimorphic hemmorhoids(piles)
"These days I feel yellowing of eyes, dark urine and loss of appetite.",Hepatitis D
I have been suffering from fatigue and loss of appetite.,Hepatitis C
"Recently, I noticed swelling joints and painful walking.",Osteoarthristis
"These days I feel fatigue, high fever, chills and toxic look (typhos).",Typhoid
I feel discomfort due to headache and mild fever.,Chicken pox
I’ve had weight loss and irritability for a few days.,Hyperthyroidism
Symptoms such as muscle weakness and abnormal menstruation are bothering me.,Hyperthyroidism
"I think I’m having family history, mucoid sputum, fatigue, breathlessness and cough.",Bronchial Asthma
"I think I’m having yellowish skin, nausea, itching, abdominal pain and loss of appetite.",Chronic cholestasis
"I think I’m having malaise, yellow urine, receiving unsterile injections and loss of appetite.",Hepatitis B
I'm experiencing symptoms like internal itching and loss of appetite.,Peptic ulcer diseae
"I think I’m having painful walking, neck pain, knee pain and hip joint pain.",Osteoarthristis
"I’ve had high fever, mucoid sputum, fatigue, breathlessness and family history for a few days.",Bronchial Asthma
"I have been suffering from high fever, red spots over body, loss of appetite, fatigue and malaise.",Dengue
"These days I feel swelling of stomach, history of alcohol consumption and yellowish skin.",Alcoholic hepatitis
"My body is showing signs of diarrhoea, restlessness and fatigue.",Hyperthyroidism
"I’ve had visual disturbances, indigestion and depression for a few days.",Migraine
I feel discomfort due to chest pain and stomach pain.,GERD
"I have been suffering from yellowing of eyes, abdominal pain, nausea and itching.",Chronic cholestasis
"Recently, I noticed diarrhoea and vomiting.",Gastroenteritis
"I feel discomfort due to history of alcohol consumption, vomiting, abdominal pain and fluid overload.",Alcoholic hepatitis
"Troubled by malaise, headache, lethargy, swelled lymph nodes and high fever lately.",Chicken pox
"Troubled by loss of appetite, fatigue, coma and stomach bleeding lately.",Hepatitis E
I'm experiencing symptoms like chills and vomiting.,Malaria
"Troubled by spotting  urination, itching and skin rash lately.",Drug Reaction
I feel discomfort due to dischromic  patches and skin rash.,Fungal infection
"Troubled by vomiting, yellowing of eyes, itching and yellowish skin lately.",Chronic cholestasis
I feel discomfort due to pain in anal region and pain during bowel movements.,Dimorphic hemmorhoids(piles)
My body is showing signs of yellowish skin and fatigue.,Hepatitis B
"My body is showing signs of nausea, joint pain and yellowing of eyes.",Hepatitis D
Symptoms such as inflammatory nails and small dents in nails are bothering me.,Psoriasis
